Forge,Link Count
github.com,74
gitlab.com,1
www.npmjs.com,0
bitbucket.org,2
pkg.go.dev,0
code.launchpad.net,0
googlecode.com,0
pypi.org,1
repo1.maven.org,0
git.code.sf.net,0
gitorious.org,0
svn.code.sf.net,0
git.launchpad.net,0
a.cvs.sourceforge.net,0
salsa.debian.org,0
src.fedoraproject.org,0
git.drupalcode.org,0
pub.dev,0
codeberg.org,0
gitlab.archlinux.org,0
framagit.org,1
snapshot.debian.org,0
cran.r-project.org,0
hdiff.luite.com,0
hg.code.sf.net,0
gitlab.gnome.org,0
gitlab.cern.ch,0
code.opensuse.org,0
gitlab.freedesktop.org,0
invent.kde.org,0
gitgud.io,0
pagure.io,0
source.codeaurora.org,0
git.centos.org,0
gitlab.inria.fr,10
hackage.haskell.org,0
gitlab.apertis.org,0
repo.or.cz,0
gitea.com,0
cygwin.com,0
git.codelinaro.org,0
svn.osdn.net,0
static.crates.io,0
dev.getsol.us,0
git.disroot.org,0
files.pythonhosted.org,0
gitlab.kitware.com,0
git.dgit.debian.org,0
gitlab.se.ifmo.ru,0
opam.ocaml.org,0
android.googlesource.com,0
git.eclipse.org,0
www.tug.org,0
texlive.info,0
git.almalinux.org,0
git.pf.osdn.net,0
git.rwth-aachen.de,0
anonymous@cvs.osdn.net,0
gitlab.oit.duke.edu,0
git.savannah.gnu.org,0
gitlab.eif.urjc.es,0
gitlab.manjaro.org,0
svn.apache.org,0
git.baserock.org,0
gitlab.gwdg.de,0
gricad-gitlab.univ-grenoble-alpes.fr,0
gitlab.eclipse.org,0
apache.googlesource.com,0
gitee.com,0
anongit.kde.org,0
code.google.com,0
opendev.org,0
0xacab.org,0
git.kernel.org,0
rubygems.org,0
phabricator.wikimedia.org,0
code.videolan.org,0
www.softwareheritage.org,0
forgemia.inra.fr,0
gitlab.univ-lille.fr,0
chromium.googlesource.com,0
bioconductor.org,0
gitlab.wikimedia.org,0
gitlab.ow2.org,0
fedorapeople.org,0
cpan.metacpan.org,0
gitlab.riscosopen.org,0
gitlab.alpinelinux.org,0
ftp.gnu.org,0
git.torproject.org,0
scm.osdn.net,0
git.osdn.net,0
git.replicant.us,0
downloads.sourceforge.net,0
gitlab.redox-os.org,0
gitlab.torproject.org,0
svn.codehaus.org,0
kernel.googlesource.com,0
scm.gforge.inria.fr,0
gitlab.haskell.org,0
gitlab.exherbo.org,0
gitlab.eurecom.fr,0
gitlab.collabora.com,0
phabricator.kde.org,0
codebase.helmholtz.cloud,0
gite.lirmm.fr,0
gitlab.common-lisp.net,0
download.gnome.org,0
www.cpan.org,0
download.kde.org,0
oss.oracle.com,0
gitlab.developers.cam.ac.uk,0
gitlab.xfce.org,0
gitlab-student.centralesupelec.fr,0
gitlab.fi.muni.cz,0
objects.githubusercontent.com,0
gitlab.esrf.fr,0
git.envs.net,0
cdn.kernel.org,0
gitlab.opencode.de,0
git.sr.ht,0
ftpmirror.gnu.org,0
gitlab.constantvzw.org,0
gitbox.apache.org,0
git.cloudron.io,0
hg.osdn.net,0
gitlab.ics.muni.cz,0
anongit.gentoo.org,0
svn.tuxfamily.org,0
gitlab.dune-project.org,0
projects.blender.org,0
git.imp.fu-berlin.de,0
gist.github.com,0
gitlab.lrz.de,0
gitlab.coko.foundation,0
git.fsfe.org,0
gitlab.nic.cz,0
sourceforge.net,0
gitlab.incom.co,0
git.ti.com,0
gitlab.crans.org,0
gitlab.ub.uni-bielefeld.de,0
hal.archives-ouvertes.fr,9
gitweb.torproject.org,0
git.flow3r.garden,0
anonsvn.jboss.org,0
svn.pf.osdn.net,0
git.cryto.net,0
gitlab.e.foundation,0
git.coop,0
git.informatik.uni-leipzig.de,0
foss.heptapod.net,0
plmlab.math.cnrs.fr,0
fuchsia.googlesource.com,0
gitlab.softwareheritage.org,0
coq.inria.fr,0
foss-eda-tools.googlesource.com,0
gitlab.raptorengineering.com,0
gitlab.cecs.anu.edu.au,0
svn.dev.java.net,0
heptapod.host,0
gitlab.ebi.ac.uk,0
gitea.it,0
git.devuan.org,0
extensions.gnome.org,0
git.alpinelinux.org,0
git.duniter.org,0
gitlab.hrz.tu-chemnitz.de,0
gitlab.bsc.es,0
svn.forge.objectweb.org,0
git.gnu.org.ua,0
git-ce.rwth-aachen.de,0
gitlab.mpi-sws.org,0
git.entrouvert.org,0
git.planet-casio.com,0
sourceware.org,0
forge.extranet.logilab.fr,0
code.qt.io,0
git.iem.at,0
bazaar.leonerd.org.uk,0
git.dotya.ml,0
chaos.expert,0
git.proxmox.com,0
gitea.pep.foundation,0
code.europa.eu,0
git.minetest.land,0
git.gitano.org.uk,0
gitlab.switch.ch,0
git.zx2c4.com,0
git.chiark.greenend.org.uk,0
git.autistici.org,0
gitlab.kwant-project.org,0
git.samba.org,0
git.ghostscript.com,0
gitlab.unimelb.edu.au,0
gitea.osmocom.org,0
git.openprivacy.ca,0
shithub.us,0
git.astron.nl,0
svn.kuali.org,0
git.enlightenment.org,0
source.sakaiproject.org,0
gitlab-research.centralesupelec.fr,0
git.renater.fr,0
sourcesup.renater.fr,0
svn.java.net,0
svn.sonatype.org,0
git.beagleboard.org,0
gitlab.windenergy.dtu.dk,0
git.samba.or,0
beta.quicklisp.org,0
git.shadowcat.co.uk,0
git.eleves.ens.fr,0
gitlab.obspm.fr,0
gitlab.synchrotron-soleil.fr,0
git.automotivelinux.org,0
openbeagle.org,0
git.ufz.de,0
gitlab.huma-num.fr,0
gerrit.googlesource.com,0
hg.pf.osdn.net,0
subversion.renater.fr,0
forge.softwareheritage.org,0
scm.sourcesup.renater.fr,0
git.unistra.fr,0
gitli.stratum0.org,0
git.fluxo.info,0
gitlab.dkrz.de,0
git.hyperbola.info:50100,0
svn.dsource.org,0
git.pengutronix.de,0
git.h8u.de,0
gitlab.mister-muffin.de,0
hg.tryton.org,0
gitlab.xiph.org,0
git.osgeo.org,0
kolaente.dev,0
git.ipfire.org,0
xorg.freedesktop.org,0
git.iws.uni-stuttgart.de,0
gitlab.eng.unimelb.edu.au,0
annas-software.org,0
git.furworks.de,0
git.com.de,0
git.gitlab.arm.com,0
git.do.srb2.org,0
git.laquadrature.net,0
elpa.gnu.org,0
www.x.org,0
git.yoctoproject.org,0
gitlab.linphone.org,0
svn.nuiton.org,0
archive.xfce.org,0
repo.hex.pm,0
git.adelielinux.org,0
gitlab.physik.uni-muenchen.de,0
doi.org,14
git.ivysaur.me,0
evolvis.org,0
raw.githubusercontent.com,1
gitlab.lip6.fr,0
linux-libre.fsfla.org,0
download.qt.io,0
git-wip-us.apache.org,0
gitlab.trisquel.org,0
gitlab.adullact.net,0
repo.hu,0
gitlab.lis-lab.fr,0
gitlab.irstea.fr,0
code.blicky.net,0
andy_jefferson@svn.code.sf.net,0
gitea.c3d2.de,0
notabug.org,0
code.mathr.co.uk,0
git.oschina.net,0
git.joeyh.name,0
gitea.moe,0
git.froggi.es,0
gitlab.mbb.cnrs.fr,0
gitlab.nuiton.org,0
git.madhouse-project.org,0
git.archive.org,0
git.libreoffice.org,0
svn.geomajas.org,0
git.afpy.org,0
gitlab.spline.inf.fu-berlin.de,0
git.supernets.org,0
gitlab.tails.boum.org,0
git.data.coop,0
git.distorted.org.uk,0
gitlab.opengeosys.org,0
keep.imfreedom.org,0
git.math.uzh.ch,0
git.lavasoftware.org,0
guest@svn.dev.java.net,0
git.syndicate-lang.org,0
forge.univ-lyon1.fr,0
gitea.ladish.org,0
gitlab.isc.org,0
forge.grandlyon.com,0
gitlab.orfeo-toolbox.org,0
dart.googlesource.com,0
gitlab.bzed.at,0
git.asonix.dog,0
code.ffdn.org,0
gitlab.cri.epita.fr,0
git.deuxfleurs.fr,0
git.approximate.life,0
gitlab.anu.edu.au,0
git.sindominio.net,0
git.0x90.space,0
gitea.slowb.ro,0
git.php.net,0
git.libre-soc.org,0
bgstack15.ddns.net,0
git.drk.sc,0
libvirt.org,0
coral.googlesource.com,0
gitlab.gnugen.ch,0
git.icinga.com,0
gitea.auro.re,0
git.freeside.biz,0
source.denx.de,0
gitlab.telecom-paris.fr,0
git.benjamin.barenblat.name,0
git.hardenedbsd.org,0
git.dynare.org,0
gitlab.linux.community,0
source.mnt.re,0
thrig.me,0
jxself.org,0
git.eta.st,0
gitlab.lisn.upsaclay.fr,0
regionhalland.visualstudio.com,0
git.cryptech.is,0
sources.debian.org,0
svn.petalslink.org,0
git.hcoop.net,0
git.donarmstrong.com,0
git.gag.com,0
pub.mate-desktop.org,0
svn.icculus.org,0
git.congatec.com,0
gitea.treehouse.systems,0
git.ao2.it,0
subversion.assembla.com,0
dlcdn.apache.org,0
download.savannah.gnu.org,0
abf.io,0
scm.dspace.org,0
gitlab.tt-rss.org,0
git.ecker.tech,0
git.ik.bme.hu,0
git.ieval.ro,0
git.glasklar.is,0
git.pleroma.social,0
alexschroeder.ch,0
svn.zdechov.net,0
git.2f30.org,0
pigweed.googlesource.com,0
g.blicky.net,0
dev.sanctum.geek.nz,0
git.postgresql.org,0
gitlab.denx.de,0
gitlab.rrze.fau.de,0
gitea.artixlinux.org,0
gitlab.mim-libre.fr,0
gogs.univ-littoral.fr,0
git.gnunet.org,0
mirrors.ocf.berkeley.edu,0
launchpad.net,0
git.cworth.org,0
git.taler.net,0
projects.sucs.org,0
git.ssh.surf,0
git.hadrons.org,0
git.enea.com,0
source.jasig.org,0
git.linux-nfs.org,0
gitea.swigg.net,0
git.2li.ch,0
git.exeter.ac.uk,0
source.netsurf-browser.org,0
git.tt-rss.org,0
git.kompot.si,0
gitlab.cwp.govt.nz,0
jomc.svn.sourceforge.net,0
git.bubu1.eu,0
git.compilenix.org,0
git.eigenstate.org,0
mran.revolutionanalytics.com,0
hg.icculus.org,0
git.captnemo.in,0
git.fps.ee,0
gitlab.mbb.univ-montp2.fr,0
git.spwhitton.name,0
git.bitmycode.com,0
git.askiiart.net,0
registry.npmjs.org,0
git.progress-linux.org,0
git.finalrewind.org,0
depp.brause.cc,0
git.kuschku.de,0
gitea.invidious.io,0
bitreich.org,0
git.andrewyu.org,0
git.puscii.nl,0
lindi.iki.fi,0
git.eeqj.de,0
evilpiepirate.org,0
git.codelabs.ch,0
git.vitali64.duckdns.org,0
www.kylheku.com,0
git.defora.org,0
git.calculate-linux.org,0
gitlab.iqrf.org,0
cdm-project.com,0
svn.jboss.org,0
git.build2.org,0
git.0pointer.net,0
gitea.blesmrt.net,0
flutter.googlesource.com,0
r-36.net,0
gitea.arpa.li,0
code.aliyun.com,0
gitlab.brokenpipe.de,0
svn.marvelution.com,0
git.froth.zone,0
git.infradead.org,0
git.eyrie.org,0
skia.googlesource.com,0
gitea.elara.ws,0
gitlab.factory.social.gouv.fr,0
git.rjp.is,0
gitea.dmz.rs,0
git.archlinux.org,0
gitlab.dsi.universite-paris-saclay.fr,0
git.stderr.nl,0
dev.eclipse.org,0
dspace.svn.sourceforge.net,0
git.grml.org,0
gopkg.in,0
www.ja-sig.org,0
git.bitwiz.org.uk,0
gstreamer.freedesktop.org,0
gitlab.fusiondirectory.org,0
git.acid.vegas,0
go.googlesource.com,0
download.netsurf-browser.org,0
gitorious.ow2.org,0
git.acdw.net,0
www.freedesktop.org,0
git.concertos.live,0
code.umd.edu,0
git.logicalhacking.com,0
a3nm.net,0
git.sciprog.center,0
gitlab.futo.org,0
gitea.angry.im,0
repo.aster.it,0
git.codemadness.org,0
wowana.me,0
www-eu.apache.org,0
git.bleu255.com,0
devheroes.codes,0
smlnj.cs.uchicago.edu,0
git.causal.agency,0
gitlab.u-psud.fr,0
git.tartarus.org,0
git.chylex.com,0
httpredir.debian.org,0
git.fs.lmu.de,0
gitlab.digitalcourage.de,0
svn.osgeo.org,0
developer.blender.org,0
git.riconnect.de,0
bzr.osdn.net,0
k.sfconservancy.org,0
repo.dec05eba.com,0
gitlab.fuss.bz.it,0
e.coding.net,0
git.trueelena.org,0
git.netwichtig.de,0
mirror.easyname.at,0
gitea.sysmocom.de,0
git.in-ulm.de,0
git.hedwing.dev,0
skarnet.org,0
jdtaus.svn.sourceforge.net,0
git.elephly.net,0
ftp.mozilla.org,0
download.enlightenment.org,0
gitweb.gentoo.org,0
svn.wald.intevation.org,0
git.aweirdimagination.net,0
erratique.ch,0
storage.googleapis.com,1
yhbt.net,0
gitlab.metager.de,0
gitflic.ru,0
gitub.u-bordeaux.fr,0
gitlab.inf.ethz.ch,0
artfiles.org,0
mygitlab.ir,0
git.tecosaur.net,0
git.infodrom.org,0
odf.bzr.sourceforge.net,0
hg.mozilla.org,0
test.kuali.org,0
svn.anotheria.net,0
git.cynerd.cz,0
releases.pagure.org,0
gitlab.glitchr.dev,0
daemon.git.devys.org,0
fsdfsd.net,0
aur.archlinux.org,0
git.abscue.de,0
janey@svn.java.net,0
git.agesic.gub.uy,0
git.armaanb.net,0
ftp.isc.org,0
hg.dsource.org,0
finestructure.net,0
git.gnupg.org,0
gitlab.wpdesk.dev,0
code.ill.fr,0
git.imirhil.fr,0
www.github.com,0
git.spork.org,0
git.frama-c.com,0
open.jira.com,0
gitlab.software.imdea.org,0
git.dittberner.info,0
git.erp5.org,0
git.fucktheforce.de,0
gitlab.in2p3.fr,0
pustefix.svn.sourceforge.net,0
gerrit.avm99963.com,0
git.codesynthesis.com,0
jff.email,0
dci-gitlab.cines.fr,0
dev.azure.com,0
gitea.lyrion.ch,0
open.logics.net.au,0
git.foldling.org,0
git.dthompson.us,0
crates.io,0
git.danieljon.es,0
git.s-ol.nu,0
blitiri.com.ar,0
downloads.xiph.org,0
git.anonymousmessenger.ly,0
git.datenwolf.net,0
dev.ch-poitiers.fr,0
git.busybox.net,0
git.harrault.fr,0
projects.qi-hardware.com,0
git.jff.email,0
git.nora.codes,0
git.openembedded.org,0
releases.llvm.org,0
git.ache.one,0
code.googlesource.com,0
git.goldelico.com,0
git.apiote.xyz,0
git.cuvoodoo.info,0
dpdk.org,0
git.carlh.net,0
appfuse.dev.java.net,0
gitlab.onelab.info,0
gitlab.die-netzmacher.de,0
ftp.de.debian.org,0
